;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;135;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;293.631;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;296300;;;Total de leitos;578
BOM JARDIM;787;22;;;;;;Leitos ocupados;92
BOM JESUS DAS SELVAS;1432;9;;;;;;Leitos livres;486
BOM LUGAR;185;0;;ÓBITOS DE COVID-19;;;;% de ocupação;15,92%
BREJO;614;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;450;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;213;0;;10 a 19 anos;15;;;Leitos ocupados UTI;63
BURITICUPU;2067;4;;20 a 29 anos;31;;;Leitos livres;152
BURITIRANA;235;6;;30 a 39 anos;104;;;% de ocupação UTI;29,30%
CACHOEIRA GRANDE;170;3;;40 a 49 anos;183;;;;
CAJAPIÓ;5;2;;50 a 59 anos;345;;;IMPERATRIZ;
CAJARI;121;4;;60 a 69 anos;748;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;303;2;;Mais de 70 anos;1783;;;Total de leitos;81
CÂNDIDO MENDES;26;4;;TOTAL;3228;;;Leitos ocupados;48
CANTANHEDE;381;3;;;;;;Leitos livres;33
CAPINZAL DO NORTE;338;1;;;;;;% de ocupação;59,26%
CAROLINA;261;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;297;17;;HOMEM;1991;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3424;70;;MULHER;1237;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;30
CENTRAL DO MARANHÃO;18;1;;;;;;Leitos livres;24
CENTRO DO GUILHERME;328;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;55,56%
CENTRO NOVO DO MARANHÃO;567;7;;COM COMORBIDADES ;2735;85%;;;
CHAPADINHA;2631;43;;SEM COMORBIDADES ;493;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;267;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1471;35;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1311;26;;NEUROLÓGICO;185;;;;
CONCEIÇÃO DO LAGO-AÇU;151;5;;ONCOLÓGICO;123;;;RAÇA/COR;
COROATÁ;848;10;;PNEUMOPATIA;44;;;AMARELA;24.298
CURURUPU;487;7;;CARDIOPATIA;394;;;BRANCA;13.772
DAVINÓPOLIS;229;7;;DOENÇA RENAL CRÔNICA;188;;;INDIGENA;860
DOM PEDRO;222;2;;DIABETES MELITUS;1237;;;PARDA;49.148
DUQUE BACELAR;318;7;;HIPERTENSÃO ARTERIAL;1792;;;PRETA;4.902
ESPERANTINÓPOLIS;616;13;;SEM COMORBIDADES;493;;;SEM INFORMAÇÃO;41.213
ESTREITO;1201;7;;OBESIDADE;136;;;TOTAL;134.193
FEIRA NOVA DO MARANHÃO;308;2;;OUTROS;432;;;;
FERNANDO FALCÃO;702;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;473;1;;;;;;PARDA;1571
FORTALEZA DOS NOGUEIRAS;410;0;;;;;;BRANCA;386
FORTUNA;353;1;;;;;;PRETA;212
GODOFREDO VIANA;83;3;;;;;;AMARELA;206
GONÇALVES DIAS;309;3;;;;;;INDÍGENA;26
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;228;4;;;;;;TOTAL;3.228
GOVERNADOR EUGÊNIO BARROS;181;0;;;;;;;
GOVERNADOR LUIZ ROCHA;95;0;;;;;;;
GOVERNADOR NEWTON BELLO;439;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2073;31;;;;;;;
GUIMARÃES;207;4;;;;;;;
HUMBERTO DE CAMPOS;459;5;;;;;;;
ICATU;183;6;;;;;;;
IGARAPÉ DO MEIO;228;8;;;;;;;
IGARAPÉ GRANDE;870;8;;;;;;;
IMPERATRIZ;4909;233;;;;;;;
ITAIPAVA DO GRAJAÚ;332;2;;;;;;;
ITAPECURU-MIRIM;669;10;;;;;;;
ITINGA DO MARANHÃO;508;11;;;;;;;
JATOBÁ;42;3;;;;;;;
JENIPAPO DOS VIEIRAS;443;8;;;;;;;
JOÃO LISBOA;226;9;;;;;;;
JOSELÂNDIA;370;0;;;;;;;
JUNCO DO MARANHÃO;143;0;;;;;;;
LAGO DA PEDRA;1125;43;;;;;;;
LAGO DO JUNCO;175;1;;;;;;;
LAGO DOS RODRIGUES;303;7;;;;;;;
LAGO VERDE;470;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;99;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;580;6;;;;;;;
LORETO;169;2;;;;;;;
LUÍS DOMINGUES;65;1;;;;;;;
MAGALHÃES DE ALMEIDA;374;4;;;;;;;
MARACAÇUMÉ;471;3;;;;;;;
MARAJÁ DO SENA;143;2;;;;;;;
MARANHÃOZINHO;406;3;;;;;;;
MATA ROMA;344;10;;;;;;;
MATINHA;256;3;;;;;;;
MATÕES;274;4;;;;;;;
MATÕES DO NORTE;197;1;;;;;;;
MILAGRES DO MARANHÃO;153;1;;;;;;;
MIRADOR;437;3;;;;;;;
MIRANDA DO NORTE;135;7;;;;;;;
MIRINZAL;125;6;;;;;;;
MONÇÃO;318;15;;;;;;;
MONTES ALTOS;261;2;;;;;;;
MORROS;136;7;;;;;;;
NINA RODRIGUES;180;4;;;;;;;
NOVA COLINAS;55;0;;;;;;;
NOVA IORQUE;25;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;450;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;515;79;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;318;2;;;;;;;
PARNARAMA;325;0;;;;;;;
PASSAGEM FRANCA;122;0;;;;;;;
PASTOS BONS;195;2;;;;;;;
PAULINO NEVES;151;2;;;;;;;
PAULO RAMOS;738;9;;;;;;;
PEDREIRAS;1456;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;218;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;322;3;;;;;;;
PINDARÉ-MIRIM;563;11;;;;;;;
PINHEIRO;1722;30;;;;;;;
PIO XII;785;6;;;;;;;
PIRAPEMAS;246;3;;;;;;;
POÇÃO DE PEDRAS;663;2;;;;;;;
PORTO FRANCO;614;8;;;;;;;
PORTO RICO DO MARANHÃO;103;1;;;;;;;
PRESIDENTE DUTRA;1202;7;;;;;;;
PRESIDENTE JUSCELINO;28;0;;;;;;;
PRESIDENTE MÉDICI;218;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
PRESIDENTE VARGAS;50;1;;;;;;;
PRIMEIRA CRUZ;43;2;;;;;;;
RAPOSA;115;13;;;;;;;
RIACHÃO;221;6;;;;;;;
RIBAMAR FIQUENE;133;8;;;;;;;
ROSÁRIO;373;11;;;;;;;
SAMBAÍBA;100;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1230;6;;;;;;;
SANTA INÊS;4072;71;;;;;;;
SANTA LUZIA;2299;16;;;;;;;
SANTA LUZIA DO PARUÁ;374;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;436;14;;;;;;;
SANTA RITA;249;11;;;;;;;
SANTANA DO MARANHÃO;154;3;;;;;;;
SANTO AMARO DO MARANHÃO;70;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;584;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;810;7;;;;;;;
SÃO BENTO;456;4;;;;;;;
SÃO BERNARDO;821;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;107;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1121;7;;;;;;;
SÃO FÉLIX DE BALSAS;104;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;257;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;57;0;;;;;;;
SÃO JOÃO BATISTA;111;5;;;;;;;
SÃO JOÃO DO CARÚ;344;5;;;;;;;
SÃO JOÃO DO PARAÍSO;78;2;;;;;;;
SÃO JOÃO DO SÓTER;372;2;;;;;;;
SÃO JOÃO DOS PATOS;800;8;;;;;;;
SÃO JOSÉ DE RIBAMAR;1074;107;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;132;0;;;;;;;
SÃO LUÍS;17383;1170;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;490;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1045;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;318;1;;;;;;;
SÃO PEDRO DOS CRENTES;100;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;987;5;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;141;2;;;;;;;
SÃO VICENTE FERRER;154;1;;;;;;;
SATUBINHA;126;1;;;;;;;
SENADOR ALEXANDRE COSTA;305;1;;;;;;;
SENADOR LA ROCQUE;175;8;;;;;;;
SERRANO DO MARANHÃO;141;1;;;;;;;
SÍTIO NOVO;342;3;;;;;;;
SUCUPIRA DO NORTE;58;0;;;;;;;
SUCUPIRA DO RIACHÃO;65;0;;;;;;;
TASSO FRAGOSO;104;0;;;;;;;
TIMBIRAS;331;3;;;;;;;
TIMON;2918;99;;;;;;;
TRIZIDELA DO VALE;603;7;;;;;;;
TUFILÂNDIA;59;4;;;;;;;
TUNTUM;1093;6;;;;;;;
TURIAÇU;225;3;;;;;;;
TURILÂNDIA;301;4;;;;;;;
TUTÓIA;934;22;;;;;;;
URBANO SANTOS;1284;14;;;;;;;
VARGEM GRANDE;703;10;;;;;;;
VIANA;240;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;190;0;;;;;;;
VITÓRIA DO MEARIM;620;6;;;;;;;
VITORINO FREIRE;1410;25;;;;;;;
ZÉ DOCA;3001;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
