;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
CAJARI;120;1;;60 a 69 anos;585;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;189;1;;Mais de 70 anos;1304;;;Total de leitos;81
CÂNDIDO MENDES;25;4;;TOTAL;2426;;;Leitos ocupados;56
CANTANHEDE;360;2;;;;;;Leitos livres;25
CAPINZAL DO NORTE;265;0;;;;;;% de ocupação;69,14%
CAROLINA;160;0;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;255;15;;HOMEM;1507;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;2077;31;;MULHER;919;38%;;Total de leitos UTI;54
CEDRAL;94;0;;;;;;Leitos ocupados UTI;46
CENTRAL DO MARANHÃO;16;1;;;;;;Leitos livres;8
CENTRO DO GUILHERME;51;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;85,19%
CENTRO NOVO DO MARANHÃO;331;5;;COM COMORBIDADES;2111;87%;;;
CHAPADINHA;2335;28;;SEM COMORBIDADES;315;13%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;225;0;;;;;;;
CODÓ;1786;15;;;;;;;
COELHO NETO;1200;27;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;707;14;;NEUROLÓGICO;147;;;;
CONCEIÇÃO DO LAGO-AÇU;139;3;;ONCOLÓGICO;93;;;RAÇA/COR;
COROATÁ;581;7;;PNEUMOPATIA;23;;;AMARELA;13.675
CURURUPU;295;6;;CARDIOPATIA;286;;;BRANCA;8.319
DAVINÓPOLIS;200;6;;DOENÇA RENAL CRÔNICA;142;;;INDIGENA;365
DOM PEDRO;47;1;;DIABETES MELITUS;939;;;PARDA;33.012
DUQUE BACELAR;250;3;;HIPERTENSÃO ARTERIAL;1364;;;PRETA;3.207
ESPERANTINÓPOLIS;538;11;;SEM COMORBIDADES;352;;;SEM INFORMAÇÃO;39.820
ESTREITO;689;7;;OBESIDADE;106;;;TOTAL;98.398
FEIRA NOVA DO MARANHÃO;42;1;;OUTROS;330;;;;
FERNANDO FALCÃO;462;0;;;;;;;
FORMOSA DA SERRA NEGRA;123;1;;;;;;;
FORTALEZA DOS NOGUEIRAS;103;0;;;;;;ÓBITOS RAÇA/COR;
FORTUNA;166;0;;;;;;AMARELA;188
GODOFREDO VIANA;66;3;;;;;;BRANCA;221
GONÇALVES DIAS;171;1;;;;;;INDIGENA;7
GOVERNADOR ARCHER;196;0;;;;;;PARDA;1.073
GOVERNADOR EDISON LOBÃO;174;4;;;;;;PRETA;148
GOVERNADOR EUGÊNIO BARROS;143;0;;;;;;SEM INFORMAÇÃO;789
GOVERNADOR LUIZ ROCHA;41;0;;;;;;TOTAL;2.426
GOVERNADOR NEWTON BELLO;346;4;;;;;;;
GOVERNADOR NUNES FREIRE;580;1;;;;;;;
GRAÇA ARANHA;103;1;;;;;;;
GRAJAÚ;1267;18;;;;;;;
GUIMARÃES;151;4;;;;;;;
HUMBERTO DE CAMPOS;252;3;;;;;;;
ICATU;167;6;;;;;;;
IGARAPÉ DO MEIO;160;6;;;;;;;
IGARAPÉ GRANDE;703;5;;;;;;;
IMPERATRIZ;4403;214;;;;;;;
ITAIPAVA DO GRAJAÚ;129;0;;;;;;;
ITAPECURU-MIRIM;480;7;;;;;;;
ITINGA DO MARANHÃO;423;10;;;;;;;
JATOBÁ;29;0;;;;;;;
JENIPAPO DOS VIEIRAS;137;2;;;;;;;
JOÃO LISBOA;204;7;;;;;;;
JOSELÂNDIA;284;0;;;;;;;
JUNCO DO MARANHÃO;101;0;;;;;;;
LAGO DA PEDRA;926;40;;;;;;;
LAGO DO JUNCO;121;1;;;;;;;
LAGO DOS RODRIGUES;181;3;;;;;;;
LAGO VERDE;340;2;;;;;;;
LAGOA DO MATO;0;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;90;2;;;;;;;
LAJEADO NOVO;38;0;;;;;;;
LIMA CAMPOS;455;4;;;;;;;
LORETO;35;0;;;;;;;
LUÍS DOMINGUES;49;1;;;;;;;
MAGALHÃES DE ALMEIDA;106;4;;;;;;;
MARACAÇUMÉ;411;1;;;;;;;
MARAJÁ DO SENA;117;2;;;;;;;
MARANHÃOZINHO;305;3;;;;;;;
MATA ROMA;325;6;;;;;;;
MATINHA;203;1;;;;;;;
MATÕES;146;1;;;;;;;
MATÕES DO NORTE;152;1;;;;;;;
MILAGRES DO MARANHÃO;112;1;;;;;;;
MIRADOR;163;0;;;;;;;
MIRANDA DO NORTE;136;5;;;;;;;
MIRINZAL;91;6;;;;;;;
MONÇÃO;251;13;;;;;;;
MONTES ALTOS;152;2;;;;;;;
MORROS;123;5;;;;;;;
NINA RODRIGUES;120;3;;;;;;;
NOVA COLINAS;7;0;;;;;;;
NOVA IORQUE;10;0;;;;;;;
NOVA OLINDA DO MARANHÃO;259;2;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;367;3;;;;;;;
OLINDA NOVA DO MARANHÃO;195;4;;;;;;;
PAÇO DO LUMIAR;474;71;;;;;;;
PALMEIRÂNDIA;32;3;;;;;;;
PARAIBANO;171;1;;;;;;;
PARNARAMA;102;1;;;;;;;
PASSAGEM FRANCA;76;0;;;;;;;
PASTOS BONS;47;1;;;;;;;
PAULINO NEVES;114;1;;;;;;;
PAULO RAMOS;493;5;;;;;;;
PEDREIRAS;1207;23;;;;;;;
PEDRO DO ROSÁRIO;85;1;;;;;;;
PENALVA;196;5;;;;;;;
PERI-MIRIM;153;1;;;;;;;
PERITORÓ;317;2;;;;;;;
PINDARÉ-MIRIM;475;6;;;;;;;
PINHEIRO;1274;25;;;;;;;
PIO XII;699;4;;;;;;;
PIRAPEMAS;237;2;;;;;;;
POÇÃO DE PEDRAS;333;1;;;;;;;
PORTO FRANCO;287;6;;;;;;;
PORTO RICO DO MARANHÃO;81;1;;;;;;;
PRESIDENTE DUTRA;886;3;;;;;;;
PRESIDENTE JUSCELINO;27;0;;;;;;;
PRESIDENTE MÉDICI;168;0;;;;;;;
PRESIDENTE SARNEY;164;6;;;;;;;
PRESIDENTE VARGAS;37;1;;;;;;;
PRIMEIRA CRUZ;38;1;;;;;;;
RAPOSA;112;13;;;;;;;
RIACHÃO;63;0;;;;;;;
RIBAMAR FIQUENE;125;6;;;;;;;
ROSÁRIO;295;8;;;;;;;
SAMBAÍBA;4;0;;;;;;;
SANTA FILOMENA DO MARANHÃO;21;0;;;;;;;
SANTA HELENA;1123;6;;;;;;;
SANTA INÊS;3708;54;;;;;;;
SANTA LUZIA;1711;10;;;;;;;
SANTA LUZIA DO PARUÁ;270;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;435;10;;;;;;;
SANTA RITA;207;6;;;;;;;
SANTANA DO MARANHÃO;105;1;;;;;;;
SANTO AMARO DO MARANHÃO;46;1;;;;;;;
SANTO ANTÔNIO DOS LOPES;453;2;;;;;;;
SÃO BENEDITO DO RIO PRETO;570;5;;;;;;;
SÃO BENTO;453;3;;;;;;;
SÃO BERNARDO;658;9;;;;;;;
SÃO DOMINGOS DO AZEITÃO;44;0;;;;;;;
SÃO DOMINGOS DO MARANHÃO;442;2;;;;;;;
SÃO FÉLIX DE BALSAS;11;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;213;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;14;0;;;;;;;
SÃO JOÃO BATISTA;104;4;;;;;;;
SÃO JOÃO DO CARÚ;259;3;;;;;;;
SÃO JOÃO DO PARAÍSO;49;1;;;;;;;
SÃO JOÃO DO SÓTER;152;2;;;;;;;
SÃO JOÃO DOS PATOS;80;5;;;;;;;
SÃO JOSÉ DE RIBAMAR;955;94;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;63;0;;;;;;;
SÃO LUÍS;14261;950;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;214;1;;;;;;;
SÃO MATEUS DO MARANHÃO;789;19;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;257;1;;;;;;;
SÃO PEDRO DOS CRENTES;69;0;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;277;2;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;70;2;;;;;;;
SÃO ROBERTO;65;1;;;;;;;
SÃO VICENTE FERRER;116;1;;;;;;;
SATUBINHA;114;1;;;;;;;
SENADOR ALEXANDRE COSTA;170;1;;;;;;;
SENADOR LA ROCQUE;155;8;;;;;;;
SERRANO DO MARANHÃO;109;1;;;;;;;
SÍTIO NOVO;234;3;;;;;;;
SUCUPIRA DO NORTE;11;0;;;;;;;
SUCUPIRA DO RIACHÃO;13;0;;;;;;;
TASSO FRAGOSO;34;0;;;;;;;
TIMBIRAS;272;3;;;;;;;
TIMON;1778;42;;;;;;;
TRIZIDELA DO VALE;543;5;;;;;;;
TUFILÂNDIA;35;3;;;;;;;
TUNTUM;660;3;;;;;;;
TURIAÇU;185;2;;;;;;;
TURILÂNDIA;267;3;;;;;;;
TUTÓIA;769;18;;;;;;;
URBANO SANTOS;889;10;;;;;;;
VARGEM GRANDE;563;6;;;;;;;
VIANA;224;10;;;;;;;
VILA NOVA DOS MARTÍRIOS;119;0;;;;;;;
VITÓRIA DO MEARIM;561;2;;;;;;;
VITORINO FREIRE;1072;15;;;;;;;
ZÉ DOCA;2304;24;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Na revisão de dados, em razão de duplicidade no sistema foram excluídos um caso de Graça Aranha, um caso de Codó, um caso de Senador La Rocque, um caso de Timbiras, um caso de Ribamar Fiquene, dois casos de Peritoró, quatro casos de Tutóia, quatorze casos de Pindaré-Mirim, ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
