;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
FEIRA NOVA DO MARANHÃO;265;2;;OUTROS;428;;;;
FERNANDO FALCÃO;663;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;452;1;;;;;;PARDA;1535
FORTALEZA DOS NOGUEIRAS;308;0;;;;;;BRANCA;373
FORTUNA;328;0;;;;;;PRETA;205
GODOFREDO VIANA;82;3;;;;;;AMARELA;205
GONÇALVES DIAS;283;3;;;;;;INDÍGENA;24
GOVERNADOR ARCHER;260;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;225;4;;;;;;TOTAL;3.169
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;94;0;;;;;;;
GOVERNADOR NEWTON BELLO;435;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2005;30;;;;;;;
GUIMARÃES;186;4;;;;;;;
HUMBERTO DE CAMPOS;396;5;;;;;;;
ICATU;177;6;;;;;;;
IGARAPÉ DO MEIO;218;8;;;;;;;
IGARAPÉ GRANDE;871;8;;;;;;;
IMPERATRIZ;4843;232;;;;;;;
ITAIPAVA DO GRAJAÚ;310;2;;;;;;;
ITAPECURU-MIRIM;647;10;;;;;;;
ITINGA DO MARANHÃO;506;11;;;;;;;
JATOBÁ;40;3;;;;;;;
JENIPAPO DOS VIEIRAS;400;6;;;;;;;
JOÃO LISBOA;225;9;;;;;;;
JOSELÂNDIA;347;0;;;;;;;
JUNCO DO MARANHÃO;130;0;;;;;;;
LAGO DA PEDRA;1095;43;;;;;;;
LAGO DO JUNCO;175;1;;;;;;;
LAGO DOS RODRIGUES;271;7;;;;;;;
LAGO VERDE;457;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;99;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;561;5;;;;;;;
LORETO;153;2;;;;;;;
LUÍS DOMINGUES;65;1;;;;;;;
MAGALHÃES DE ALMEIDA;355;4;;;;;;;
MARACAÇUMÉ;464;3;;;;;;;
MARAJÁ DO SENA;143;2;;;;;;;
MARANHÃOZINHO;397;3;;;;;;;
MATA ROMA;343;9;;;;;;;
MATINHA;256;3;;;;;;;
MATÕES;260;4;;;;;;;
MATÕES DO NORTE;187;1;;;;;;;
MILAGRES DO MARANHÃO;147;1;;;;;;;
MIRADOR;436;3;;;;;;;
MIRANDA DO NORTE;135;7;;;;;;;
MIRINZAL;125;6;;;;;;;
MONÇÃO;312;15;;;;;;;
MONTES ALTOS;249;2;;;;;;;
MORROS;135;6;;;;;;;
NINA RODRIGUES;180;4;;;;;;;
NOVA COLINAS;42;0;;;;;;;
NOVA IORQUE;20;0;;;;;;;
NOVA OLINDA DO MARANHÃO;264;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;440;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;510;79;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;280;2;;;;;;;
PARNARAMA;283;0;;;;;;;
PASSAGEM FRANCA;112;0;;;;;;;
PASTOS BONS;167;2;;;;;;;
PAULINO NEVES;149;2;;;;;;;
PAULO RAMOS;698;9;;;;;;;
PEDREIRAS;1437;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;217;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;322;3;;;;;;;
PINDARÉ-MIRIM;560;10;;;;;;;
PINHEIRO;1704;29;;;;;;;
PIO XII;781;6;;;;;;;
PIRAPEMAS;245;3;;;;;;;
POÇÃO DE PEDRAS;629;2;;;;;;;
PORTO FRANCO;581;7;;;;;;;
PORTO RICO DO MARANHÃO;103;1;;;;;;;
PRESIDENTE DUTRA;1151;6;;;;;;;
PRESIDENTE JUSCELINO;28;0;;;;;;;
PRESIDENTE MÉDICI;212;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
PRESIDENTE VARGAS;50;1;;;;;;;
PRIMEIRA CRUZ;40;2;;;;;;;
RAPOSA;114;13;;;;;;;
RIACHÃO;215;2;;;;;;;
RIBAMAR FIQUENE;133;8;;;;;;;
ROSÁRIO;370;11;;;;;;;
SAMBAÍBA;99;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1229;6;;;;;;;
SANTA INÊS;4055;71;;;;;;;
SANTA LUZIA;2255;16;;;;;;;
SANTA LUZIA DO PARUÁ;363;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;436;14;;;;;;;
SANTA RITA;245;11;;;;;;;
SANTANA DO MARANHÃO;149;3;;;;;;;
SANTO AMARO DO MARANHÃO;68;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;562;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;774;6;;;;;;;
SÃO BENTO;455;3;;;;;;;
SÃO BERNARDO;810;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;93;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1078;7;;;;;;;
SÃO FÉLIX DE BALSAS;85;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;245;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;57;0;;;;;;;
SÃO JOÃO BATISTA;111;5;;;;;;;
SÃO JOÃO DO CARÚ;334;5;;;;;;;
SÃO JOÃO DO PARAÍSO;75;1;;;;;;;
SÃO JOÃO DO SÓTER;345;2;;;;;;;
SÃO JOÃO DOS PATOS;765;8;;;;;;;
SÃO JOSÉ DE RIBAMAR;1057;107;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;123;0;;;;;;;
SÃO LUÍS;17059;1160;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;453;7;;;;;;;
SÃO MATEUS DO MARANHÃO;1025;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;318;1;;;;;;;
SÃO PEDRO DOS CRENTES;98;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;976;4;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;141;2;;;;;;;
SÃO VICENTE FERRER;154;1;;;;;;;
SATUBINHA;126;1;;;;;;;
SENADOR ALEXANDRE COSTA;292;1;;;;;;;
SENADOR LA ROCQUE;174;8;;;;;;;
SERRANO DO MARANHÃO;141;1;;;;;;;
SÍTIO NOVO;310;3;;;;;;;
SUCUPIRA DO NORTE;44;0;;;;;;;
SUCUPIRA DO RIACHÃO;56;0;;;;;;;
TASSO FRAGOSO;91;0;;;;;;;
TIMBIRAS;269;3;;;;;;;
TIMON;2665;97;;;;;;;
TRIZIDELA DO VALE;600;7;;;;;;;
TUFILÂNDIA;59;4;;;;;;;
TUNTUM;1059;6;;;;;;;
TURIAÇU;225;3;;;;;;;
TURILÂNDIA;301;4;;;;;;;
TUTÓIA;913;21;;;;;;;
URBANO SANTOS;1101;14;;;;;;;
VARGEM GRANDE;669;10;;;;;;;
VIANA;239;12;;;;;;;
VILA NOVA DOS MARTÍRIOS;172;0;;;;;;;
VITÓRIA DO MEARIM;607;6;;;;;;;
VITORINO FREIRE;1375;22;;;;;;;
ZÉ DOCA;2980;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Na revisão de dados no sistema, um caso de São José de Ribamar foi remanejado para São Luís em razão de mudança de domicílio de paciente. Por motivos de duplicidade, houve a exclusão de quatro casos registrados na cidade de Açailândia.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
