;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
BARÃO DE GRAJAÚ;15;1;;CONFIRMADOS;RECUPERADOS;ÓBITOS;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BARRA DO CORDA;2798;21;;3089;3003;57;;Total de leitos UTI;152
BARREIRINHAS;490;22;;;;;;Leitos ocupados UTI;63
BELA VISTA DO MARANHÃO;121;3;;;;;;Leitos livres;89
BELÁGUA;179;1;;TESTES REALIZADOS;;;;% de ocupação UTI;41,45%
BENEDITO LEITE;82;0;;LABORATÓRIO PÚBLICO;3293;;;;
BEQUIMÃO;206;10;;LABORATÓRIO PRIVADO;301;;;DEMAIS REGIÕES*;
BERNARDO DO MEARIM;48;2;;BOLETIM ANTERIOR;279.254;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
BOA VISTA DO GURUPI;13;3;;TOTAL;282848;;;Total de leitos;578
BOM JARDIM;783;22;;;;;;Leitos ocupados;109
BOM JESUS DAS SELVAS;1394;8;;;;;;Leitos livres;469
BOM LUGAR;182;0;;ÓBITOS DE COVID-19;;;;% de ocupação;18,86%
BREJO;583;18;;;;;;;
BREJO DE AREIA;164;1;;FAIXA ETÁRIA;CASOS;;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
BURITI;400;1;;0 a 9 anos;19;;;Total de leitos UTI;215
BURITI BRAVO;159;0;;10 a 19 anos;14;;;Leitos ocupados UTI;67
BURITICUPU;1980;4;;20 a 29 anos;31;;;Leitos livres;148
BURITIRANA;235;6;;30 a 39 anos;102;;;% de ocupação UTI;31,16%
CACHOEIRA GRANDE;170;3;;40 a 49 anos;178;;;;
CAJAPIÓ;5;2;;50 a 59 anos;338;;;IMPERATRIZ;
CAJARI;121;2;;60 a 69 anos;730;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;278;1;;Mais de 70 anos;1726;;;Total de leitos;81
CÂNDIDO MENDES;26;4;;TOTAL;3138;;;Leitos ocupados;41
CANTANHEDE;378;3;;;;;;Leitos livres;40
CAPINZAL DO NORTE;323;1;;;;;;% de ocupação;50,62%
CAROLINA;243;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;289;16;;HOMEM;1936;62%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3216;68;;MULHER;1202;38%;;Total de leitos UTI;54
CEDRAL;107;0;;;;;;Leitos ocupados UTI;31
CENTRAL DO MARANHÃO;18;1;;;;;;Leitos livres;23
CENTRO DO GUILHERME;299;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;57,41%
CENTRO NOVO DO MARANHÃO;543;7;;COM COMORBIDADES;2661;85%;;;
CHAPADINHA;2571;43;;SEM COMORBIDADES;477;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;264;1;;;;;;;
CODÓ;1791;19;;;;;;;
COELHO NETO;1446;33;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1225;25;;NEUROLÓGICO;182;;;;
CONCEIÇÃO DO LAGO-AÇU;147;5;;ONCOLÓGICO;118;;;RAÇA/COR;
COROATÁ;757;10;;PNEUMOPATIA;38;;;AMARELA;22.659
CURURUPU;487;7;;CARDIOPATIA;368;;;BRANCA;12.951
DAVINÓPOLIS;226;7;;DOENÇA RENAL CRÔNICA;182;;;INDIGENA;826
DOM PEDRO;193;2;;DIABETES MELITUS;1197;;;PARDA;46.601
DUQUE BACELAR;314;7;;HIPERTENSÃO ARTERIAL;1734;;;PRETA;4.637
ESPERANTINÓPOLIS;615;12;;SEM COMORBIDADES;477;;;SEM INFORMAÇÃO;41.172
ESTREITO;1158;7;;OBESIDADE;133;;;TOTAL;128.846
FEIRA NOVA DO MARANHÃO;228;2;;OUTROS;418;;;;
FERNANDO FALCÃO;663;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;451;1;;;;;;PARDA;1.517
FORTALEZA DOS NOGUEIRAS;308;0;;;;;;BRANCA;368
FORTUNA;327;0;;;;;;PRETA;202
GODOFREDO VIANA;81;3;;;;;;AMARELA;204
GONÇALVES DIAS;283;3;;;;;;INDÍGENA;20
GOVERNADOR ARCHER;259;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;225;4;;;;;;TOTAL;3.138
GOVERNADOR EUGÊNIO BARROS;169;0;;;;;;;
GOVERNADOR LUIZ ROCHA;93;0;;;;;;;
GOVERNADOR NEWTON BELLO;434;4;;;;;;;
GOVERNADOR NUNES FREIRE;583;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;1981;29;;;;;;;
GUIMARÃES;186;4;;;;;;;
HUMBERTO DE CAMPOS;396;5;;;;;;;
ICATU;177;6;;;;;;;
IGARAPÉ DO MEIO;218;8;;;;;;;
IGARAPÉ GRANDE;870;7;;;;;;;
IMPERATRIZ;4826;230;;;;;;;
ITAIPAVA DO GRAJAÚ;282;1;;;;;;;
ITAPECURU-MIRIM;646;9;;;;;;;
ITINGA DO MARANHÃO;504;11;;;;;;;
JATOBÁ;33;3;;;;;;;
JENIPAPO DOS VIEIRAS;398;4;;;;;;;
JOÃO LISBOA;223;9;;;;;;;
JOSELÂNDIA;344;0;;;;;;;
JUNCO DO MARANHÃO;130;0;;;;;;;
LAGO DA PEDRA;1092;43;;;;;;;
LAGO DO JUNCO;175;1;;;;;;;
LAGO DOS RODRIGUES;269;6;;;;;;;
LAGO VERDE;452;3;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;99;3;;;;;;;
LAJEADO NOVO;75;0;;;;;;;
LIMA CAMPOS;558;5;;;;;;;
LORETO;151;2;;;;;;;
LUÍS DOMINGUES;65;1;;;;;;;
MAGALHÃES DE ALMEIDA;355;4;;;;;;;
MARACAÇUMÉ;464;3;;;;;;;
MARAJÁ DO SENA;143;2;;;;;;;
MARANHÃOZINHO;397;3;;;;;;;
MATA ROMA;343;9;;;;;;;
MATINHA;250;3;;;;;;;
MATÕES;254;3;;;;;;;
MATÕES DO NORTE;187;1;;;;;;;
MILAGRES DO MARANHÃO;145;1;;;;;;;
MIRADOR;435;2;;;;;;;
MIRANDA DO NORTE;135;7;;;;;;;
MIRINZAL;125;6;;;;;;;
MONÇÃO;312;15;;;;;;;
MONTES ALTOS;234;2;;;;;;;
MORROS;135;6;;;;;;;
NINA RODRIGUES;180;4;;;;;;;
NOVA COLINAS;42;0;;;;;;;
NOVA IORQUE;20;0;;;;;;;
NOVA OLINDA DO MARANHÃO;264;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;439;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;510;79;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;280;2;;;;;;;
PARNARAMA;282;0;;;;;;;
PASSAGEM FRANCA;112;0;;;;;;;
PASTOS BONS;153;2;;;;;;;
PAULINO NEVES;145;2;;;;;;;
PAULO RAMOS;698;9;;;;;;;
PEDREIRAS;1436;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;216;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;322;3;;;;;;;
PINDARÉ-MIRIM;560;10;;;;;;;
PINHEIRO;1701;29;;;;;;;
PIO XII;777;6;;;;;;;
PIRAPEMAS;245;3;;;;;;;
POÇÃO DE PEDRAS;628;2;;;;;;;
PORTO FRANCO;568;7;;;;;;;
PORTO RICO DO MARANHÃO;103;1;;;;;;;
PRESIDENTE DUTRA;1120;6;;;;;;;
PRESIDENTE JUSCELINO;28;0;;;;;;;
PRESIDENTE MÉDICI;209;0;;;;;;;
PRESIDENTE SARNEY;167;7;;;;;;;
PRESIDENTE VARGAS;50;1;;;;;;;
PRIMEIRA CRUZ;40;2;;;;;;;
RAPOSA;113;13;;;;;;;
RIACHÃO;208;2;;;;;;;
RIBAMAR FIQUENE;132;8;;;;;;;
ROSÁRIO;370;11;;;;;;;
SAMBAÍBA;99;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1215;6;;;;;;;
SANTA INÊS;4043;71;;;;;;;
SANTA LUZIA;2253;16;;;;;;;
SANTA LUZIA DO PARUÁ;353;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;435;14;;;;;;;
SANTA RITA;245;11;;;;;;;
SANTANA DO MARANHÃO;149;3;;;;;;;
SANTO AMARO DO MARANHÃO;65;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;562;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;771;6;;;;;;;
SÃO BENTO;455;3;;;;;;;
SÃO BERNARDO;809;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;90;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1056;6;;;;;;;
SÃO FÉLIX DE BALSAS;85;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;245;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;57;0;;;;;;;
SÃO JOÃO BATISTA;111;5;;;;;;;
SÃO JOÃO DO CARÚ;333;5;;;;;;;
SÃO JOÃO DO PARAÍSO;75;1;;;;;;;
SÃO JOÃO DO SÓTER;326;2;;;;;;;
SÃO JOÃO DOS PATOS;741;7;;;;;;;
SÃO JOSÉ DE RIBAMAR;1054;107;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;123;0;;;;;;;
SÃO LUÍS;16867;1157;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;451;7;;;;;;;
SÃO MATEUS DO MARANHÃO;1021;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;318;1;;;;;;;
SÃO PEDRO DOS CRENTES;98;1;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;945;4;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;136;2;;;;;;;
SÃO VICENTE FERRER;154;1;;;;;;;
SATUBINHA;115;1;;;;;;;
SENADOR ALEXANDRE COSTA;288;1;;;;;;;
SENADOR LA ROCQUE;174;8;;;;;;;
SERRANO DO MARANHÃO;141;1;;;;;;;
SÍTIO NOVO;310;3;;;;;;;
SUCUPIRA DO NORTE;43;0;;;;;;;
SUCUPIRA DO RIACHÃO;54;0;;;;;;;
TASSO FRAGOSO;91;0;;;;;;;
TIMBIRAS;269;3;;;;;;;
TIMON;2532;94;;;;;;;
TRIZIDELA DO VALE;599;7;;;;;;;
TUFILÂNDIA;59;4;;;;;;;
TUNTUM;1050;6;;;;;;;
TURIAÇU;225;3;;;;;;;
TURILÂNDIA;301;4;;;;;;;
TUTÓIA;913;21;;;;;;;
URBANO SANTOS;1101;14;;;;;;;
VARGEM GRANDE;668;10;;;;;;;
VIANA;239;12;;;;;;;
VILA NOVA DOS MARTÍRIOS;169;0;;;;;;;
VITÓRIA DO MEARIM;607;6;;;;;;;
VITORINO FREIRE;1364;22;;;;;;;
ZÉ DOCA;2976;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
