;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
BURITICUPU;2171;4;;20 a 29 anos;34;;;Leitos livres;152
BURITIRANA;236;6;;30 a 39 anos;109;;;% de ocupação UTI;29,30%
CACHOEIRA GRANDE;171;4;;40 a 49 anos;199;;;;
CAJAPIÓ;5;2;;50 a 59 anos;364;;;IMPERATRIZ;
CAJARI;125;4;;60 a 69 anos;783;;;TAXA DE OCUPAÇÃO DE LEITOS DE CLÍNICOS Covid-19;
CAMPESTRE DO MARANHÃO;379;4;;Mais de 70 anos;1889;;;Total de leitos;81
CÂNDIDO MENDES;52;4;;TOTAL;3412;;;Leitos ocupados;74
CANTANHEDE;381;3;;;;;;Leitos livres;7
CAPINZAL DO NORTE;352;1;;;;;;% de ocupação;91,36%
CAROLINA;334;1;;CONTAGEM POR SEXO;QUANTIDADE;%;;;
CARUTAPERA;350;17;;HOMEM;2098;61%;;TAXA DE OCUPAÇÃO DE LEITOS DE UTI Covid-19;
CAXIAS;3820;72;;MULHER;1314;39%;;Total de leitos UTI;54
CEDRAL;121;0;;;;;;Leitos ocupados UTI;47
CENTRAL DO MARANHÃO;22;1;;;;;;Leitos livres;7
CENTRO DO GUILHERME;339;1;;QUADRO DE COMORBIDADE DOS ÓBITOS;;;;% de ocupação UTI;87,04%
CENTRO NOVO DO MARANHÃO;607;7;;COM COMORBIDADES ;2888;85%;;;
CHAPADINHA;2666;44;;SEM COMORBIDADES ;524;15%;;*Taxa de ocupação relativa aos leitos SUS disponíveis na rede SES/MA;
CIDELÂNDIA;289;1;;;;;;;
CODÓ;1796;25;;;;;;;
COELHO NETO;1542;36;;COMORBIDADE;QUANTIDADE;;;;
COLINAS;1533;27;;NEUROLÓGICO;192;;;;
CONCEIÇÃO DO LAGO-AÇU;152;5;;ONCOLÓGICO;128;;;RAÇA/COR;
COROATÁ;1218;10;;PNEUMOPATIA;51;;;AMARELA;28.817
CURURUPU;507;7;;CARDIOPATIA;422;;;BRANCA;16.171
DAVINÓPOLIS;248;7;;DOENÇA RENAL CRÔNICA;201;;;INDIGENA;1.040
DOM PEDRO;291;2;;DIABETES MELITUS;1306;;;PARDA;56.949
DUQUE BACELAR;348;7;;HIPERTENSÃO ARTERIAL;1877;;;PRETA;5.663
ESPERANTINÓPOLIS;621;13;;SEM COMORBIDADES;524;;;SEM INFORMAÇÃO;41.504
ESTREITO;1908;7;;OBESIDADE;144;;;TOTAL;150.144
FEIRA NOVA DO MARANHÃO;399;2;;OUTROS;463;;;;
FERNANDO FALCÃO;733;0;;;;;;ÓBITOS RAÇA/COR;
FORMOSA DA SERRA NEGRA;611;1;;;;;;PARDA;1693
FORTALEZA DOS NOGUEIRAS;547;2;;;;;;BRANCA;421
FORTUNA;473;1;;;;;;PRETA;232
GODOFREDO VIANA;84;3;;;;;;AMARELA;209
GONÇALVES DIAS;346;4;;;;;;INDÍGENA;30
GOVERNADOR ARCHER;262;0;;;;;;SEM INFORMAÇÃO;827
GOVERNADOR EDISON LOBÃO;271;5;;;;;;TOTAL;3.412
GOVERNADOR EUGÊNIO BARROS;199;0;;;;;;;
GOVERNADOR LUIZ ROCHA;103;0;;;;;;;
GOVERNADOR NEWTON BELLO;447;4;;;;;;;
GOVERNADOR NUNES FREIRE;620;3;;;;;;;
GRAÇA ARANHA;118;2;;;;;;;
GRAJAÚ;2353;33;;;;;;;
GUIMARÃES;214;4;;;;;;;
HUMBERTO DE CAMPOS;572;5;;;;;;;
ICATU;211;6;;;;;;;
IGARAPÉ DO MEIO;246;9;;;;;;;
IGARAPÉ GRANDE;942;8;;;;;;;
IMPERATRIZ;5296;282;;;;;;;
ITAIPAVA DO GRAJAÚ;438;3;;;;;;;
ITAPECURU-MIRIM;700;11;;;;;;;
ITINGA DO MARANHÃO;547;11;;;;;;;
JATOBÁ;61;4;;;;;;;
JENIPAPO DOS VIEIRAS;631;9;;;;;;;
JOÃO LISBOA;235;10;;;;;;;
JOSELÂNDIA;412;0;;;;;;;
JUNCO DO MARANHÃO;185;0;;;;;;;
LAGO DA PEDRA;1179;43;;;;;;;
LAGO DO JUNCO;215;1;;;;;;;
LAGO DOS RODRIGUES;333;7;;;;;;;
LAGO VERDE;494;4;;;;;;;
LAGOA DO MATO;1;0;;;;;;;
LAGOA GRANDE DO MARANHÃO;111;3;;;;;;;
LAJEADO NOVO;110;0;;;;;;;
LIMA CAMPOS;653;6;;;;;;;
LORETO;294;2;;;;;;;
LUÍS DOMINGUES;124;1;;;;;;;
MAGALHÃES DE ALMEIDA;398;4;;;;;;;
MARACAÇUMÉ;492;3;;;;;;;
MARAJÁ DO SENA;145;3;;;;;;;
MARANHÃOZINHO;419;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;258;3;;;;;;;
MATÕES;366;7;;;;;;;
MATÕES DO NORTE;202;1;;;;;;;
MILAGRES DO MARANHÃO;161;1;;;;;;;
MIRADOR;562;3;;;;;;;
MIRANDA DO NORTE;138;9;;;;;;;
MIRINZAL;126;6;;;;;;;
MONÇÃO;448;15;;;;;;;
MONTES ALTOS;338;4;;;;;;;
MORROS;141;7;;;;;;;
NINA RODRIGUES;181;4;;;;;;;
NOVA COLINAS;82;0;;;;;;;
NOVA IORQUE;27;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;477;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;563;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;363;4;;;;;;;
PARNARAMA;459;0;;;;;;;
PASSAGEM FRANCA;232;0;;;;;;;
PASTOS BONS;339;2;;;;;;;
PAULINO NEVES;152;2;;;;;;;
PAULO RAMOS;811;11;;;;;;;
PEDREIRAS;1512;34;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;218;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;337;3;;;;;;;
PINDARÉ-MIRIM;574;11;;;;;;;
PINHEIRO;1840;33;;;;;;;
PIO XII;799;6;;;;;;;
PIRAPEMAS;248;3;;;;;;;
POÇÃO DE PEDRAS;887;2;;;;;;;
PORTO FRANCO;735;9;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1296;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;234;0;;;;;;;
PRESIDENTE SARNEY;168;7;;;;;;;
PRESIDENTE VARGAS;58;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;134;13;;;;;;;
RIACHÃO;377;6;;;;;;;
RIBAMAR FIQUENE;145;8;;;;;;;
ROSÁRIO;378;11;;;;;;;
SAMBAÍBA;245;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1296;6;;;;;;;
SANTA INÊS;4219;71;;;;;;;
SANTA LUZIA;2472;16;;;;;;;
SANTA LUZIA DO PARUÁ;418;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;443;15;;;;;;;
SANTA RITA;259;13;;;;;;;
SANTANA DO MARANHÃO;159;3;;;;;;;
SANTO AMARO DO MARANHÃO;75;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;653;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;897;7;;;;;;;
SÃO BENTO;457;5;;;;;;;
SÃO BERNARDO;835;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;141;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1312;8;;;;;;;
SÃO FÉLIX DE BALSAS;131;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;297;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;67;0;;;;;;;
SÃO JOÃO BATISTA;118;5;;;;;;;
SÃO JOÃO DO CARÚ;363;5;;;;;;;
SÃO JOÃO DO PARAÍSO;100;2;;;;;;;
SÃO JOÃO DO SÓTER;498;2;;;;;;;
SÃO JOÃO DOS PATOS;999;9;;;;;;;
SÃO JOSÉ DE RIBAMAR;1189;111;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;162;0;;;;;;;
SÃO LUÍS;18526;1203;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;558;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1096;25;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;374;1;;;;;;;
SÃO PEDRO DOS CRENTES;106;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1412;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;74;2;;;;;;;
SÃO ROBERTO;211;2;;;;;;;
SÃO VICENTE FERRER;201;1;;;;;;;
SATUBINHA;128;1;;;;;;;
SENADOR ALEXANDRE COSTA;340;1;;;;;;;
SENADOR LA ROCQUE;194;8;;;;;;;
SERRANO DO MARANHÃO;181;2;;;;;;;
SÍTIO NOVO;564;3;;;;;;;
SUCUPIRA DO NORTE;65;0;;;;;;;
SUCUPIRA DO RIACHÃO;88;0;;;;;;;
TASSO FRAGOSO;182;0;;;;;;;
TIMBIRAS;332;3;;;;;;;
TIMON;3599;101;;;;;;;
TRIZIDELA DO VALE;604;7;;;;;;;
TUFILÂNDIA;78;5;;;;;;;
TUNTUM;1251;6;;;;;;;
TURIAÇU;233;3;;;;;;;
TURILÂNDIA;308;4;;;;;;;
TUTÓIA;990;23;;;;;;;
URBANO SANTOS;1450;14;;;;;;;
VARGEM GRANDE;730;10;;;;;;;
VIANA;276;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;271;0;;;;;;;
VITÓRIA DO MEARIM;675;6;;;;;;;
VITORINO FREIRE;1472;26;;;;;;;
ZÉ DOCA;3273;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
Na revisão de dados no sistema, um caso de Anapurus foi transferido para Brejo em razão de mudança de domicílio de paciente. ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
