NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
SAMBAÍBA;4;0;;;;;;;
SANTA FILOMENA DO MARANHÃO;17;0;;;;;;;
SANTA HELENA;1087;4;;;;;;;
SANTA INÊS;3595;53;;;;;;;
SANTA LUZIA;1602;6;;;;;;;
SANTA LUZIA DO PARUÁ;257;3;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;367;10;;;;;;;
SANTA RITA;195;6;;;;;;;
SANTANA DO MARANHÃO;97;1;;;;;;;
SANTO AMARO DO MARANHÃO;46;1;;;;;;;
SANTO ANTÔNIO DOS LOPES;440;2;;;;;;;
SÃO BENEDITO DO RIO PRETO;506;5;;;;;;;
SÃO BENTO;453;3;;;;;;;
SÃO BERNARDO;632;9;;;;;;;
SÃO DOMINGOS DO AZEITÃO;39;0;;;;;;;
SÃO DOMINGOS DO MARANHÃO;408;2;;;;;;;
SÃO FÉLIX DE BALSAS;8;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;203;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;14;0;;;;;;;
SÃO JOÃO BATISTA;103;4;;;;;;;
SÃO JOÃO DO CARÚ;231;3;;;;;;;
SÃO JOÃO DO PARAÍSO;48;1;;;;;;;
SÃO JOÃO DO SÓTER;150;2;;;;;;;
SÃO JOÃO DOS PATOS;75;5;;;;;;;
SÃO JOSÉ DE RIBAMAR;930;92;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;63;0;;;;;;;
SÃO LUÍS;13839;903;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;124;1;;;;;;;
SÃO MATEUS DO MARANHÃO;762;19;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;257;1;;;;;;;
SÃO PEDRO DOS CRENTES;51;0;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;209;2;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;70;2;;;;;;;
SÃO ROBERTO;62;1;;;;;;;
SÃO VICENTE FERRER;74;1;;;;;;;
SATUBINHA;114;1;;;;;;;
SENADOR ALEXANDRE COSTA;147;0;;;;;;;
SENADOR LA ROCQUE;153;8;;;;;;;
SERRANO DO MARANHÃO;109;1;;;;;;;
SÍTIO NOVO;220;3;;;;;;;
SUCUPIRA DO NORTE;11;0;;;;;;;
SUCUPIRA DO RIACHÃO;13;0;;;;;;;
TASSO FRAGOSO;29;0;;;;;;;
TIMBIRAS;273;3;;;;;;;
TIMON;1614;39;;;;;;;
TRIZIDELA DO VALE;525;5;;;;;;;
TUFILÂNDIA;34;3;;;;;;;
TUNTUM;608;2;;;;;;;
TURIAÇU;174;2;;;;;;;
TURILÂNDIA;259;3;;;;;;;
TUTÓIA;744;17;;;;;;;
URBANO SANTOS;886;9;;;;;;;
VARGEM GRANDE;514;5;;;;;;;
VIANA;223;9;;;;;;;
VILA NOVA DOS MARTÍRIOS;106;0;;;;;;;
VITÓRIA DO MEARIM;439;2;;;;;;;
VITORINO FREIRE;1008;14;;;;;;;
ZÉ DOCA;2246;24;;;;;;;
;;;;;;;;;
Na revisão de dados, um caso de São Luís foi transferido para Bacabal, em razão de mudança de domicílio do paciente.;;;;;;;;;
