;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
PRESIDENTE VARGAS;50;1;;;;;;;
PRIMEIRA CRUZ;43;2;;;;;;;
RAPOSA;115;13;;;;;;;
RIACHÃO;232;6;;;;;;;
RIBAMAR FIQUENE;133;8;;;;;;;
ROSÁRIO;375;11;;;;;;;
SAMBAÍBA;100;1;;;;;;;
SANTA FILOMENA DO MARANHÃO;43;0;;;;;;;
SANTA HELENA;1230;6;;;;;;;
SANTA INÊS;4078;71;;;;;;;
SANTA LUZIA;2330;16;;;;;;;
SANTA LUZIA DO PARUÁ;380;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;438;14;;;;;;;
SANTA RITA;252;11;;;;;;;
SANTANA DO MARANHÃO;154;3;;;;;;;
SANTO AMARO DO MARANHÃO;70;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;584;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;817;7;;;;;;;
SÃO BENTO;457;5;;;;;;;
SÃO BERNARDO;821;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;107;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1145;8;;;;;;;
SÃO FÉLIX DE BALSAS;104;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;259;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;61;0;;;;;;;
SÃO JOÃO BATISTA;111;5;;;;;;;
SÃO JOÃO DO CARÚ;347;5;;;;;;;
SÃO JOÃO DO PARAÍSO;79;2;;;;;;;
SÃO JOÃO DO SÓTER;372;2;;;;;;;
SÃO JOÃO DOS PATOS;812;8;;;;;;;
SÃO JOSÉ DE RIBAMAR;1090;107;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;136;0;;;;;;;
SÃO LUÍS;17426;1172;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;491;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1050;24;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;318;1;;;;;;;
SÃO PEDRO DOS CRENTES;101;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;989;5;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;72;2;;;;;;;
SÃO ROBERTO;145;2;;;;;;;
SÃO VICENTE FERRER;155;1;;;;;;;
SATUBINHA;126;1;;;;;;;
SENADOR ALEXANDRE COSTA;309;1;;;;;;;
SENADOR LA ROCQUE;175;8;;;;;;;
SERRANO DO MARANHÃO;141;2;;;;;;;
SÍTIO NOVO;351;3;;;;;;;
SUCUPIRA DO NORTE;65;0;;;;;;;
SUCUPIRA DO RIACHÃO;68;0;;;;;;;
TASSO FRAGOSO;104;0;;;;;;;
TIMBIRAS;331;3;;;;;;;
TIMON;2944;99;;;;;;;
TRIZIDELA DO VALE;603;7;;;;;;;
TUFILÂNDIA;59;4;;;;;;;
TUNTUM;1098;6;;;;;;;
TURIAÇU;225;3;;;;;;;
TURILÂNDIA;301;4;;;;;;;
TUTÓIA;946;22;;;;;;;
URBANO SANTOS;1306;14;;;;;;;
VARGEM GRANDE;704;10;;;;;;;
VIANA;240;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;195;0;;;;;;;
VITÓRIA DO MEARIM;624;6;;;;;;;
VITORINO FREIRE;1418;25;;;;;;;
ZÉ DOCA;3046;36;;;;;;;
"Na revisão de dados no sistema, em razão de mudança de domicilio de paciente, um caso de São Luís foi remanejado para São Bento.   

";;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
