;;;;;;;;;
NÚMERO DE CASOS CONFIRMADOS POR MUNICÍPIO DE RESIDÊNCIA;;;;DISTRIBUIÇÃO DE CASOS DE COVID-19 NOTIFICADOS NO MARANHÃO;;;;FAIXA ETÁRIA;CASOS
LUÍS DOMINGUES;176;1;;;;;;;
MAGALHÃES DE ALMEIDA;399;4;;;;;;;
MARACAÇUMÉ;503;3;;;;;;;
MARAJÁ DO SENA;154;3;;;;;;;
MARANHÃOZINHO;424;3;;;;;;;
MATA ROMA;345;10;;;;;;;
MATINHA;261;3;;;;;;;
MATÕES;406;8;;;;;;;
MATÕES DO NORTE;222;1;;;;;;;
MILAGRES DO MARANHÃO;176;1;;;;;;;
MIRADOR;608;3;;;;;;;
MIRANDA DO NORTE;141;9;;;;;;;
MIRINZAL;130;6;;;;;;;
MONÇÃO;657;15;;;;;;;
MONTES ALTOS;411;4;;;;;;;
MORROS;141;7;;;;;;;
NINA RODRIGUES;212;4;;;;;;;
NOVA COLINAS;102;0;;;;;;;
NOVA IORQUE;27;0;;;;;;;
NOVA OLINDA DO MARANHÃO;277;4;;;;;;;
OLHO D'ÁGUA DAS CUNHÃS;507;4;;;;;;;
OLINDA NOVA DO MARANHÃO;193;7;;;;;;;
PAÇO DO LUMIAR;633;81;;;;;;;
PALMEIRÂNDIA;31;3;;;;;;;
PARAIBANO;373;4;;;;;;;
PARNARAMA;531;0;;;;;;;
PASSAGEM FRANCA;476;0;;;;;;;
PASTOS BONS;432;2;;;;;;;
PAULINO NEVES;155;2;;;;;;;
PAULO RAMOS;838;13;;;;;;;
PEDREIRAS;1588;35;;;;;;;
PEDRO DO ROSÁRIO;88;3;;;;;;;
PENALVA;223;5;;;;;;;
PERI-MIRIM;160;2;;;;;;;
PERITORÓ;338;3;;;;;;;
PINDARÉ-MIRIM;589;11;;;;;;;
PINHEIRO;1941;34;;;;;;;
PIO XII;843;6;;;;;;;
PIRAPEMAS;249;3;;;;;;;
POÇÃO DE PEDRAS;1016;3;;;;;;;
PORTO FRANCO;826;9;;;;;;;
PORTO RICO DO MARANHÃO;104;1;;;;;;;
PRESIDENTE DUTRA;1378;7;;;;;;;
PRESIDENTE JUSCELINO;29;0;;;;;;;
PRESIDENTE MÉDICI;235;0;;;;;;;
PRESIDENTE SARNEY;169;7;;;;;;;
PRESIDENTE VARGAS;59;1;;;;;;;
PRIMEIRA CRUZ;44;2;;;;;;;
RAPOSA;140;13;;;;;;;
RIACHÃO;571;6;;;;;;;
RIBAMAR FIQUENE;158;8;;;;;;;
ROSÁRIO;379;11;;;;;;;
SAMBAÍBA;273;2;;;;;;;
SANTA FILOMENA DO MARANHÃO;45;0;;;;;;;
SANTA HELENA;1365;6;;;;;;;
SANTA INÊS;4330;71;;;;;;;
SANTA LUZIA;2531;16;;;;;;;
SANTA LUZIA DO PARUÁ;454;4;;;;;;;
SANTA QUITÉRIA DO MARANHÃO;444;15;;;;;;;
SANTA RITA;271;13;;;;;;;
SANTANA DO MARANHÃO;165;3;;;;;;;
SANTO AMARO DO MARANHÃO;85;2;;;;;;;
SANTO ANTÔNIO DOS LOPES;701;3;;;;;;;
SÃO BENEDITO DO RIO PRETO;958;8;;;;;;;
SÃO BENTO;467;6;;;;;;;
SÃO BERNARDO;845;13;;;;;;;
SÃO DOMINGOS DO AZEITÃO;152;1;;;;;;;
SÃO DOMINGOS DO MARANHÃO;1438;9;;;;;;;
SÃO FÉLIX DE BALSAS;181;0;;;;;;;
SÃO FRANCISCO DO BREJÃO;339;0;;;;;;;
SÃO FRANCISCO DO MARANHÃO;102;0;;;;;;;
SÃO JOÃO BATISTA;129;5;;;;;;;
SÃO JOÃO DO CARÚ;399;5;;;;;;;
SÃO JOÃO DO PARAÍSO;121;2;;;;;;;
SÃO JOÃO DO SÓTER;569;2;;;;;;;
SÃO JOÃO DOS PATOS;1182;9;;;;;;;
SÃO JOSÉ DE RIBAMAR;1266;113;;;;;;;
SÃO JOSÉ DOS BASÍLIOS;244;0;;;;;;;
SÃO LUÍS;19689;1222;;;;;;;
SÃO LUÍS GONZAGA DO MARANHÃO;605;8;;;;;;;
SÃO MATEUS DO MARANHÃO;1130;26;;;;;;;
SÃO PEDRO DA ÁGUA BRANCA;428;1;;;;;;;
SÃO PEDRO DOS CRENTES;168;2;;;;;;;
SÃO RAIMUNDO DAS MANGABEIRAS;1589;6;;;;;;;
SÃO RAIMUNDO DO DOCA BEZERRA;75;2;;;;;;;
SÃO ROBERTO;246;2;;;;;;;
SÃO VICENTE FERRER;201;1;;;;;;;
SATUBINHA;128;1;;;;;;;
SENADOR ALEXANDRE COSTA;358;1;;;;;;;
SENADOR LA ROCQUE;208;8;;;;;;;
SERRANO DO MARANHÃO;195;2;;;;;;;
SÍTIO NOVO;922;5;;;;;;;
SUCUPIRA DO NORTE;122;0;;;;;;;
SUCUPIRA DO RIACHÃO;105;0;;;;;;;
TASSO FRAGOSO;248;0;;;;;;;
TIMBIRAS;352;3;;;;;;;
TIMON;4017;112;;;;;;;
TRIZIDELA DO VALE;609;8;;;;;;;
TUFILÂNDIA;103;5;;;;;;;
TUNTUM;1344;6;;;;;;;
TURIAÇU;237;4;;;;;;;
TURILÂNDIA;314;5;;;;;;;
TUTÓIA;1014;23;;;;;;;
URBANO SANTOS;1544;14;;;;;;;
VARGEM GRANDE;750;10;;;;;;;
VIANA;281;13;;;;;;;
VILA NOVA DOS MARTÍRIOS;297;0;;;;;;;
VITÓRIA DO MEARIM;676;6;;;;;;;
VITORINO FREIRE;1523;26;;;;;;;
ZÉ DOCA;3451;36;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
